,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
2013-01-31,0.178480100994,0.0633051576639,0.758214741342,0.048,0.062,0.89,0.00391284605635,-0.00187186079035
2013-02-28,0.204904732673,0.0434429219085,0.751652345419,0.052,0.063,0.885,0.00189111550977,-0.00213307370978
2013-03-31,0.249983021821,0.0,0.750016978179,0.053,0.062,0.885,0.00779889168719,0.0014932087072
2013-04-30,0.263540053092,0.0,0.736459946908,0.054,0.06,0.885,0.0107129058133,0.00547468289642
2013-05-31,0.295924589387,0.0797936466802,0.624281763933,0.055,0.055,0.89,0.00604278354828,-0.00492567364116
2013-06-30,0.287747876759,0.0856807127048,0.626571410537,0.058,0.048,0.893,-0.0195192690167,-0.0192260553045
2013-07-31,0.243113881772,0.0872588119268,0.669627306301,0.059,0.044,0.898,-0.00129306778451,-0.00687872719481
2013-08-31,0.302670950754,0.0832353996285,0.614093649617,0.062,0.04,0.898,0.00204964635521,-0.00122744358566
2013-09-30,0.316529286795,0.0964168137991,0.587053899406,0.063,0.045,0.892,0.00311905297648,0.000528737236389
2013-10-31,0.329182791552,0.094002665464,0.576814542984,0.064,0.048,0.888,0.0120591087893,0.0119930015687
2013-11-30,0.333802012162,0.0822339776173,0.583964010221,0.063,0.046,0.891,0.0100929809855,0.00112630701822
2013-12-31,0.326054094091,0.0652730074154,0.608672898493,0.064,0.041,0.895,-0.000741540458509,-0.00407281381496
2014-01-31,0.346196420574,0.0726654155319,0.581138163894,0.065,0.036,0.898,0.00751008232849,0.00643160559502
2014-02-28,0.334211694442,0.0642483720462,0.601539933512,0.065,0.037,0.898,0.00698182704881,0.00909333704768
2014-03-31,0.322823934189,0.088266992737,0.588909073074,0.065,0.039,0.896,0.0117756613976,0.0041272058324
2014-04-30,0.359296841081,0.0903336033366,0.550369555583,0.065,0.038,0.897,0.00048308274066,0.00374229552405
2014-05-31,0.349181592879,0.0718234349684,0.578994972153,0.067,0.035,0.898,0.0103617366877,0.0100184400095
2014-06-30,0.355710988527,0.0452566981202,0.599032313353,0.066,0.033,0.901,0.0107028716482,0.0022378100142
2014-07-31,0.365286120373,0.0,0.634713879627,0.067,0.033,0.9,0.00704372798241,0.00486032728342
2014-08-31,0.381659809861,1.52330405234e-17,0.618340190139,0.068,0.034,0.897,0.00069605617783,0.0039009191625
2014-09-30,0.319046699393,1.84043318779e-17,0.680953300607,0.067,0.034,0.899,0.00357925597021,-0.00284887776813
2014-10-31,0.351707401267,0.0,0.648292598733,0.067,0.028,0.905,-0.00188920826021,0.0083029352928
2014-11-30,0.162225792214,5.87275352327e-17,0.837774207786,0.065,0.027,0.908,0.00847557324757,0.00217376081871
2014-12-31,0.176517033201,0.0,0.823482966799,0.068,0.026,0.906,0.00455325323804,0.00505406258095
2015-01-31,0.256885696788,2.60682859847e-17,0.743114303212,0.07,0.028,0.903,0.00796179108313,0.0136685741556
2015-02-28,0.221518286243,2.16840434497e-18,0.778481713757,0.069,0.029,0.903,0.00457360774308,-9.68116539368e-05
2015-03-31,0.298456970204,0.0,0.701543029796,0.07,0.028,0.902,-0.000649390402131,-0.00164763789177
2015-04-30,0.302157929073,1.14586617105e-17,0.697842070927,0.069,0.025,0.906,0.00742447610123,0.007589861224
2015-05-31,0.316523292473,0.0,0.683476707527,0.069,0.025,0.906,-0.00549367201604,-0.0100100515388
2015-06-30,0.326255219796,3.86247023948e-18,0.673744780204,0.071,0.026,0.904,-0.00716525237954,-0.00777377158986
2015-07-31,0.289399627285,0.0,0.710600372715,0.07,0.025,0.904,0.00123869275042,0.00119919506507
